,REF_DATE,GEO,DGUID,Month of death,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
0,1991-01-01,"Canada, place of residence",2016A000011124,"Total, month of death",Number of deaths,Number,223,units,0,v21216330,1.1.1,195569.0,,,,0
1,1991-01-01,"Canada, place of residence",2016A000011124,"Total, month of death",Percentage of deaths,Percentage,242,units,0,v21216331,1.1.2,100.0,,,,1
2,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, January",Number of deaths,Number,223,units,0,v21216332,1.2.1,17459.0,,,,0
3,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, January",Percentage of deaths,Percentage,242,units,0,v21216333,1.2.2,8.9,,,,1
4,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, February",Number of deaths,Number,223,units,0,v21216334,1.3.1,15417.0,,,,0
5,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, February",Percentage of deaths,Percentage,242,units,0,v21216335,1.3.2,7.9,,,,1
6,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, March",Number of deaths,Number,223,units,0,v21216336,1.4.1,17052.0,,,,0
7,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, March",Percentage of deaths,Percentage,242,units,0,v21216337,1.4.2,8.7,,,,1
8,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, April",Number of deaths,Number,223,units,0,v21216338,1.5.1,16042.0,,,,0
9,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, April",Percentage of deaths,Percentage,242,units,0,v21216339,1.5.2,8.2,,,,1
10,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, May",Number of deaths,Number,223,units,0,v21216340,1.6.1,16414.0,,,,0
11,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, May",Percentage of deaths,Percentage,242,units,0,v21216341,1.6.2,8.4,,,,1
12,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, June",Number of deaths,Number,223,units,0,v21216342,1.7.1,15369.0,,,,0
13,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, June",Percentage of deaths,Percentage,242,units,0,v21216343,1.7.2,7.9,,,,1
14,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, July",Number of deaths,Number,223,units,0,v21216344,1.8.1,15636.0,,,,0
15,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, July",Percentage of deaths,Percentage,242,units,0,v21216345,1.8.2,8.0,,,,1
16,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, August",Number of deaths,Number,223,units,0,v21216346,1.9.1,15504.0,,,,0
17,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, August",Percentage of deaths,Percentage,242,units,0,v21216347,1.9.2,7.9,,,,1
18,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, September",Number of deaths,Number,223,units,0,v21216348,1.10.1,15189.0,,,,0
19,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, September",Percentage of deaths,Percentage,242,units,0,v21216349,1.10.2,7.8,,,,1
20,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, October",Number of deaths,Number,223,units,0,v21216350,1.11.1,16531.0,,,,0
21,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, October",Percentage of deaths,Percentage,242,units,0,v21216351,1.11.2,8.5,,,,1
22,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, November",Number of deaths,Number,223,units,0,v21216352,1.12.1,16413.0,,,,0
23,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, November",Percentage of deaths,Percentage,242,units,0,v21216353,1.12.2,8.4,,,,1
24,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, December",Number of deaths,Number,223,units,0,v21216354,1.13.1,18543.0,,,,0
25,1991-01-01,"Canada, place of residence",2016A000011124,"Month of death, December",Percentage of deaths,Percentage,242,units,0,v21216355,1.13.2,9.5,,,,1
26,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Total, month of death",Number of deaths,Number,223,units,0,v21216356,2.1.1,3798.0,,,,0
27,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Total, month of death",Percentage of deaths,Percentage,242,units,0,v21216357,2.1.2,100.0,,,,1
28,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, January",Number of deaths,Number,223,units,0,v21216358,2.2.1,322.0,,,,0
29,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, January",Percentage of deaths,Percentage,242,units,0,v21216359,2.2.2,8.5,,,,1
30,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, February",Number of deaths,Number,223,units,0,v21216360,2.3.1,304.0,,,,0
31,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, February",Percentage of deaths,Percentage,242,units,0,v21216361,2.3.2,8.0,,,,1
32,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, March",Number of deaths,Number,223,units,0,v21216362,2.4.1,355.0,,,,0
33,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, March",Percentage of deaths,Percentage,242,units,0,v21216363,2.4.2,9.3,,,,1
34,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, April",Number of deaths,Number,223,units,0,v21216364,2.5.1,340.0,,,,0
35,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, April",Percentage of deaths,Percentage,242,units,0,v21216365,2.5.2,9.0,,,,1
36,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, May",Number of deaths,Number,223,units,0,v21216366,2.6.1,319.0,,,,0
37,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, May",Percentage of deaths,Percentage,242,units,0,v21216367,2.6.2,8.4,,,,1
38,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, June",Number of deaths,Number,223,units,0,v21216368,2.7.1,317.0,,,,0
39,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, June",Percentage of deaths,Percentage,242,units,0,v21216369,2.7.2,8.3,,,,1
40,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, July",Number of deaths,Number,223,units,0,v21216370,2.8.1,315.0,,,,0
41,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, July",Percentage of deaths,Percentage,242,units,0,v21216371,2.8.2,8.3,,,,1
42,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, August",Number of deaths,Number,223,units,0,v21216372,2.9.1,259.0,,,,0
43,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, August",Percentage of deaths,Percentage,242,units,0,v21216373,2.9.2,6.8,,,,1
44,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, September",Number of deaths,Number,223,units,0,v21216374,2.10.1,298.0,,,,0
45,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, September",Percentage of deaths,Percentage,242,units,0,v21216375,2.10.2,7.8,,,,1
46,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, October",Number of deaths,Number,223,units,0,v21216376,2.11.1,294.0,,,,0
47,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, October",Percentage of deaths,Percentage,242,units,0,v21216377,2.11.2,7.7,,,,1
48,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, November",Number of deaths,Number,223,units,0,v21216378,2.12.1,337.0,,,,0
49,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, November",Percentage of deaths,Percentage,242,units,0,v21216379,2.12.2,8.9,,,,1
50,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, December",Number of deaths,Number,223,units,0,v21216380,2.13.1,338.0,,,,0
51,1991-01-01,"Newfoundland and Labrador, place of residence",2016A000210,"Month of death, December",Percentage of deaths,Percentage,242,units,0,v21216381,2.13.2,8.9,,,,1
52,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Total, month of death",Number of deaths,Number,223,units,0,v21216382,3.1.1,1188.0,,,,0
53,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Total, month of death",Percentage of deaths,Percentage,242,units,0,v21216383,3.1.2,100.0,,,,1
54,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, January",Number of deaths,Number,223,units,0,v21216384,3.2.1,106.0,,,,0
55,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, January",Percentage of deaths,Percentage,242,units,0,v21216385,3.2.2,8.9,,,,1
56,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, February",Number of deaths,Number,223,units,0,v21216386,3.3.1,85.0,,,,0
57,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, February",Percentage of deaths,Percentage,242,units,0,v21216387,3.3.2,7.2,,,,1
58,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, March",Number of deaths,Number,223,units,0,v21216388,3.4.1,97.0,,,,0
59,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, March",Percentage of deaths,Percentage,242,units,0,v21216389,3.4.2,8.2,,,,1
60,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, April",Number of deaths,Number,223,units,0,v21216390,3.5.1,105.0,,,,0
61,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, April",Percentage of deaths,Percentage,242,units,0,v21216391,3.5.2,8.8,,,,1
62,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, May",Number of deaths,Number,223,units,0,v21216392,3.6.1,101.0,,,,0
63,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, May",Percentage of deaths,Percentage,242,units,0,v21216393,3.6.2,8.5,,,,1
64,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, June",Number of deaths,Number,223,units,0,v21216394,3.7.1,110.0,,,,0
65,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, June",Percentage of deaths,Percentage,242,units,0,v21216395,3.7.2,9.3,,,,1
66,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, July",Number of deaths,Number,223,units,0,v21216396,3.8.1,97.0,,,,0
67,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, July",Percentage of deaths,Percentage,242,units,0,v21216397,3.8.2,8.2,,,,1
68,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, August",Number of deaths,Number,223,units,0,v21216398,3.9.1,97.0,,,,0
69,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, August",Percentage of deaths,Percentage,242,units,0,v21216399,3.9.2,8.2,,,,1
70,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, September",Number of deaths,Number,223,units,0,v21216400,3.10.1,85.0,,,,0
71,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, September",Percentage of deaths,Percentage,242,units,0,v21216401,3.10.2,7.2,,,,1
72,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, October",Number of deaths,Number,223,units,0,v21216402,3.11.1,76.0,,,,0
73,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, October",Percentage of deaths,Percentage,242,units,0,v21216403,3.11.2,6.4,,,,1
74,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, November",Number of deaths,Number,223,units,0,v21216404,3.12.1,110.0,,,,0
75,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, November",Percentage of deaths,Percentage,242,units,0,v21216405,3.12.2,9.3,,,,1
76,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, December",Number of deaths,Number,223,units,0,v21216406,3.13.1,119.0,,,,0
77,1991-01-01,"Prince Edward Island, place of residence",2016A000211,"Month of death, December",Percentage of deaths,Percentage,242,units,0,v21216407,3.13.2,10.0,,,,1
